Time	EEG_Fp1	EEG_Fp2	PPG
오후 1:49:25.685 	0.000024	0.000003	0.000912
오후 1:49:25.687 	0.000033	0.000003	0.000912
오후 1:49:25.687 	0.000028	0.000007	0.000912
오후 1:49:25.689 	0.000015	-0.000025	0.000913
오후 1:49:25.689 	-0.000021	-0.000042	0.000912
오후 1:49:25.690 	0.000012	-0.000017	0.000912
오후 1:49:25.690 	0.000034	-0.000002	0.000913
오후 1:49:25.693 	0.000022	-0.000008	0.000912
오후 1:49:25.693 	0.000037	-0.000004	0.000913
오후 1:49:25.708 	0.000001	-0.000032	0.000912
오후 1:49:25.708 	0.000034	0.000006	0.000913
오후 1:49:25.711 	0.000034	-0.000003	0.000912
오후 1:49:25.711 	0.000048	0.000004	0.000912
오후 1:49:25.712 	0.000040	-0.000003	0.000912
오후 1:49:25.712 	0.000048	0.000011	0.000913
오후 1:49:25.714 	0.000019	-0.000008	0.000913
오후 1:49:25.714 	-0.000002	-0.000037	0.000913
오후 1:49:25.716 	0.000015	-0.000004	0.000913
오후 1:49:25.716 	0.000032	0.000008	0.000913
오후 1:49:25.718 	0.000053	0.000027	0.000913
오후 1:49:25.718 	0.000029	-0.000000	0.000913
오후 1:49:25.735 	-0.000010	-0.000026	0.000913
오후 1:49:25.735 	0.000004	-0.000008	0.000913
오후 1:49:25.737 	0.000029	0.000004	0.000913
오후 1:49:25.737 	0.000008	-0.000009	0.000913
오후 1:49:25.739 	-0.000000	-0.000019	0.000913
오후 1:49:25.739 	0.000006	-0.000010	0.000913
오후 1:49:25.741 	0.000020	-0.000007	0.000913
오후 1:49:25.741 	-0.000006	-0.000040	0.000913
오후 1:49:25.744 	0.000013	-0.000034	0.000913
오후 1:49:25.744 	0.000008	-0.000017	0.000913
오후 1:49:25.746 	0.000062	0.000026	0.000913
오후 1:49:25.746 	0.000032	0.000003	0.000913
오후 1:49:25.764 	0.000021	-0.000009	0.000913
오후 1:49:25.764 	0.000025	-0.000007	0.000913
오후 1:49:25.766 	0.000041	0.000000	0.000913
오후 1:49:25.766 	0.000027	0.000003	0.000913
오후 1:49:25.767 	0.000025	-0.000007	0.000913
오후 1:49:25.767 	0.000031	0.000004	0.000913
오후 1:49:25.769 	0.000063	0.000034	0.000913
오후 1:49:25.769 	0.000075	0.000022	0.000913
오후 1:49:25.771 	0.000057	0.000012	0.000913
오후 1:49:25.771 	0.000038	-0.000010	0.000913
오후 1:49:25.772 	0.000039	0.000001	0.000913
오후 1:49:25.772 	0.000063	0.000016	0.000913
오후 1:49:25.789 	0.000058	0.000020	0.000913
오후 1:49:25.789 	0.000074	0.000036	0.000913
오후 1:49:25.792 	0.000069	0.000032	0.000913
오후 1:49:25.792 	0.000056	0.000019	0.000913
오후 1:49:25.795 	0.000069	0.000034	0.000912
오후 1:49:25.795 	0.000034	-0.000002	0.000912
오후 1:49:25.814 	0.000022	-0.000015	0.000913
오후 1:49:25.814 	0.000068	0.000027	0.000913
